a"Tarih"a"Toplam Test Sayısı"a"Toplam Vaka Sayısı"a"Toplam Vefat Sayısı"a"Hastalarda Zatürre Oranı (%)"a"Ağır Hasta Sayısı"a"Toplam İyileşen Hasta Sayısı"a"Bugünkü Vaka Sayısı"a"Bugünkü Hasta Sayısı"a"Bugünkü Test Sayısı"a"Bugünkü Vefat Sayısı"a"Bugünkü İyileşen Sayısı"
38a8 MART 2021a34.262.280a2.793.632a29.094a38.0a1.239a2.632.030a13.215a767.0a139.429a64.0a8.106
39a7 MART 2021a34.122.851a2.780.417a29.03a36.0a1.261a2.623.924a11.187000000000001a735.0a129.299a65.0a7.785
40a6 MART 2021a33.993.552a2.769.230a28.965a36.0a1.23a2.616.139a11.77a702.0a138.592a64.0a7.291
41a5 MART 2021a33.854.960a2.757.460a28.901a36.0a1.232a2.608.848a11.302a698.0a138.214a62.0a7.711
42a4 MART 2021a33.716.746a2.746.158a28.839000000000002a36.0a1.22a2.601.137a11.322000000000001a685.0a137.885a68.0a7.872999999999999
43a3 MART 2021a33.578.861a2.734.836a28.771a36.0a1.224a2.593.264a11.52a689.0a138.018a65.0a7.191
44a2 MART 2021a33.440.843a2.723.316a28.706a36.0a1.227a2.586.073a11.837a668.0a135.291a68.0a7.892
45a1 MART 2021a33.305.552a2.711.479a28.638a36.0a1.215a2.578.181a9.891a645.0a130.536a69.0a5.947
46a28 ŞUBAT 2021a33.175.016a2.701.588a28.569000000000003a42.0a1.1909999999999998a2.572.234a8.424a610.0a109.639a66.0a6.511
47a27 ŞUBAT 2021a33.065.377a2.693.164a28.503a42.0a1.187a2.565.723a9.193a621.0a125.71600000000001a71.0a8.937999999999999
48a26 ŞUBAT 2021a32.939.661a2.683.971a28.432a42.0a1.195a2.556.785a9.205a649.0a128.387a74.0a10.282
49a25 ŞUBAT 2021a32.811.274a2.674.766a28.358a42.0a1.192a2.546.503a9.572000000000001a658.0a126.527a73.0a6.21
50a24 ŞUBAT 2021a32.684.747a2.665.194a28.285a42.0a1.2a2.540.293a9.561a660.0a124.015a72.0a5.297000000000001
51a23 ŞUBAT 2021a32.560.732a2.655.633a28.213a42.0a1.185a2.534.996a9.107000000000001a633.0a123.734a75.0a5.546
52a22 ŞUBAT 2021a32.436.998a2.646.526a28.138a42.0a1.189a2.529.450a8.104a623.0a118.816a78.0a5.69
53a21 ŞUBAT 2021a32.318.182a2.638.422a28.06a36.0a1.185a2.523.760a6.546a601.0a101.105a77.0a5.002
54a20 ŞUBAT 2021a32.217.077a2.631.876a27.983a36.0a1.18a2.518.758a7.857a635.0a118.911a80.0a7.21
55a19 ŞUBAT 2021a32.098.166a2.624.019a27.903000000000002a36.0a1.185a2.511.548a7.419a638.0a116.67399999999999a82.0a7.497999999999999
56a18 ŞUBAT 2021a31.981.492a2.616.600a27.820999999999998a36.0a1.187a2.504.050a7.2410000000000005a640.0a115.406a83.0a7.2170000000000005
57a17 ŞUBAT 2021a31.866.086a2.609.359a27.738000000000003a36.0a1.193a2.496.833a7.325a649.0a117.12100000000001a86.0a7.209
58a16 ŞUBAT 2021a31.748.965a2.602.034a27.651999999999997a36.0a1.2009999999999998a2.489.624a7.906000000000001a658.0a115.794a90.0a7.189
59a15 ŞUBAT 2021a31.633.171a2.594.128a27.561999999999998a36.0a1.232a2.482.435a7.945a660.0a116.45200000000001a91.0a7.106
60a14 ŞUBAT 2021a31.516.719a2.586.183a27.471a37.0a1.23a2.475.329a6.287000000000001a666.0a104.10799999999999a94.0a6.91
61a13 ŞUBAT 2021a31.412.611a2.579.896a27.377a37.0a1.235a2.468.419a7.706a671.0a123.305a93.0a7.215
62a12 ŞUBAT 2021a31.289.306a2.572.190a27.284000000000002a37.0a1.25a2.461.204a7.763a667.0a129.63a97.0a8.107999999999999
63a11 ŞUBAT 2021a31.159.676a2.564.427a27.186999999999998a37.0a1.256a2.453.096a7.59a660.0a130.313a94.0a7.811
64a10 ŞUBAT 2021a31.029.363a2.556.837a27.093000000000004a37.0a1.308a2.445.285a8.642000000000001a664.0a135.86700000000002a95.0a7.903
65a9 ŞUBAT 2021a30.893.496a2.548.195a26.998a37.0a1.31a2.437.382a8.636000000000001a659.0a137.71200000000002a98.0a8.109
66a8 ŞUBAT 2021a30.755.784a2.539.559a26.9a37.0a1.31a2.429.273a8.103a632.0a139.378a103.0a8.567
67a7 ŞUBAT 2021a30.616.406a2.531.456a26.796999999999997a49.0a1.317a2.420.706a6.67a623.0a129.715a112.0a8.201
68a6 ŞUBAT 2021a30.486.691a2.524.786a26.685a49.0a1.337a2.412.505a7.897a618.0a137.649a108.0a8.089
69a5 ŞUBAT 2021a30.349.042a2.516.889a26.576999999999998a49.0a1.423a2.404.416a7.901a620.0a142.53799999999998a110.0a8.217
70a4 ŞUBAT 2021a30.206.504a2.508.988a26.467a49.0a1.501a2.396.199a7.909a627.0a145.067a113.0a8.815
71a3 ŞUBAT 2021a30.061.437a2.501.079a26.354a49.0a1.5230000000000001a2.387.384a8.102a632.0a148.192a117.0a8.314
72a2 ŞUBAT 2021a29.913.245a2.492.977a26.237a49.0a1.5919999999999999a2.379.070a7.795a630.0a140.12a120.0a8.639
73a1 ŞUBAT 2021a29.773.125a2.485.182a26.116999999999997a49.0a1.615a2.370.431a7.718999999999999a636.0a141.703a124.0a8.016
74a31 OCAK 2021a29.631.422a2.477.463a25.993000000000002a47.0a1.6340000000000001a2.362.415a6.562a641.0a136.418a128.0a7.006
75a30 OCAK 2021a29.495.004a2.470.901a25.865a4.7a1.692a2.355.409a6.871a658.0a148.785a129.0a7.1
76a29 OCAK 2021a29.346.219a2.464.030a25.736a47.0a1.74a2.348.309a6.912000000000001a664.0a165.09400000000002a131.0a8.093
77a28 OCAK 2021a29.181.125a2.457.118a25.605a47.0a1.751a2.340.216a7.279a670.0a173.21a129.0a8.902000000000001
78a27 OCAK 2021a29.007.915a2.449.839a25.476a47.0a1.765a2.331.314a7.489a675.0a179.419a132.0a8.802999999999999
79a26 OCAK 2021a28.828.496a2.442.350a25.344a47.0a1.791a2.322.511a7.103a681.0a180.303a134.0a8.107999999999999
80a25 OCAK 2021a28.648.193a2.435.247a25.21a47.0a1.808a2.314.403a5.642a671.0a151.109a137.0a6.682
81a24 OCAK 2021a28.497.084a2.429.605a25.073a51.0a1.905a2.307.721a5.277a684.0a148.425a140.0a5.86
82a23 OCAK 2021a28.348.659a2.424.328a24.933000000000003a51.0a1.962a2.301.861a5.856a723.0a152.75799999999998a144.0a5.811
83a22 OCAK 2021a28.195.901a2.418.472a24.789a51.0a2.003a2.296.050a5.9670000000000005a734.0a163.342a149.0a6.018
84a21 OCAK 2021a28.032.559a2.412.505a24.64a51.0a2.074a2.290.032a6.289a743.0a165.109a153.0a6.1129999999999995
85a20 OCAK 2021a27.867.450a2.406.216a24.487a51.0a2.102a2.283.919a6.435a752.0a168.894a159.0a5.932
86a19 OCAK 2021a27.698.556a2.399.781a24.328000000000003a51.0a2.162a2.277.987a6.818a761.0a175.13299999999998a167.0a7.218
87a18 OCAK 2021a27.523.423a2.392.963a24.160999999999998a51.0a2.1830000000000003a2.270.769a5.862a749.0a151.342a164.0a7.905
88a17 OCAK 2021a27.372.081a2.387.101a23.997a45.0a2.201a2.262.864a6.436a803.0a148.636a165.0a8.812000000000001
89a16 OCAK 2021a27.223.445a2.380.665a23.831999999999997a45.0a2.265a2.254.052a7.55a902.0a156.792a168.0a8.005
90a15 OCAK 2021a27.066.653a2.373.115a23.664a45.0a2.311a2.246.047a8.314a921.0a167.21099999999998a169.0a9.109
91a14 OCAK 2021a26.899.442a2.364.801a23.495a45.0a2.512a2.236.938a8.962a958.0a169.847a170.0a9.011000000000001
92a13 OCAK 2021a26.729.595a2.355.839a23.325a45.0a2.6519999999999997a2.227.927a9.554a971.0a173.60299999999998a173.0a9.463
93a12 OCAK 2021a26.555.992a2.346.285a23.151999999999997a45.0a2.701a2.218.464a9.809a983.0a179.208a171.0a10.013
94a11 OCAK 2021a26.376.784a2.336.476a22.980999999999998a45.0a2.783a2.208.451a10.22a1.003a180.303a174.0a10.300999999999998
95a10 OCAK 2021a26.196.481a2.326.256a22.807a43.0a2.8110000000000004a2.198.150a9.138a1.0170000000000001a162.786a176.0a8.103
96a9 OCAK 2021a26.033.695a2.317.118a22.631a43.0a2.903a2.190.047a9.537a1.103a168.28900000000002a181.0a7.902
97a8 OCAK 2021a25.865.406a2.307.581a22.45a43.0a3.094a2.182.145a11.479000000000001a1.291a184.19299999999998a186.0a9.894
